Random KNNWithMeans neigh=15,x
0.753881757537424,20163
0.7527900173973813,20513
0.7511997617137897,20863
0.749748455997663,21213
0.7486474674699534,21563
0.7478486669995402,21913
0.7467529432346619,22263
0.746163518185457,22613
0.7450704192057628,22963
0.7444119433804022,23313
0.7435805784792178,23663
0.7428263760995202,24013
0.7422518901283187,24363
0.7409214179887122,24713
0.7401149453473556,25063
0.7389572415497571,25413
0.7388482468892765,25763
0.7372549004019786,26113
0.7367025400180477,26463
0.7357211518843715,26813
0.7348936671236053,27163
0.7340595454183558,27513
0.7330777861768683,27863
0.73223852909406,28213
0.7314324865600645,28563
0.7311772787726977,28913
0.7302174231860853,29263
0.7298185216866517,29613
0.7288083167864228,29963
0.7282968899836625,30313
0.7274401550313312,30663
0.726856895788488,31013
0.7269131210266226,31363
0.7265223459600543,31713
0.7255239796402148,32063
0.7252373840737829,32413
0.7251415237443466,32763
0.7243794441638256,33113
0.7234448531498358,33463
0.7233184998906795,33813
0.7225304114534689,34163
0.7222983392562308,34513
0.721686474690881,34863
0.7208493092276784,35213
0.7200353720861958,35563
0.7197616830360337,35913
0.7192502654576213,36263
0.718768421158763,36613
0.7189759251842877,36963
0.7190464916020296,37313
0.7184930273820771,37663
0.717746500324471,38013
0.7173897928517274,38363
0.7166149492914141,38713
0.715829941476536,39063
0.7157883738139954,39413
0.714945303745527,39763
0.7148434938480863,40113
0.7142105649439145,40463
0.7135318682197864,40813
0.7134953527237597,41163
0.7133068638114716,41513
0.7128878496160279,41863
0.7126920720342784,42213
0.711608513550772,42563
0.711333756580057,42913
0.7108747067779486,43263
0.7106108235614025,43613
0.7105602064568013,43963
0.7101894905018658,44313
0.7102466039957271,44663
0.7098222376190574,45013
0.7094644111419413,45363
0.7089442226854882,45713
0.7087473506152975,46063
0.7087350643948555,46413
0.7083342827191345,46763
0.7081802719985618,47113
0.7082034881316035,47463
0.7080469195468372,47813
0.7073336553662769,48163
0.7069912890392108,48513
0.7068684366554324,48863
0.7064989653409315,49213
0.706281865220295,49563
0.7060450730209016,49913
0.7056352044332064,50263
0.7050869007619848,50613
0.7049682470466191,50963
0.7048033564327196,51313
0.7050063741859388,51663
0.7045471019395513,52013
0.7044947711477383,52363
0.7039820552487485,52713
0.703497866045962,53063
0.7030795428837361,53413
0.7030551803324787,53763
0.7027217915635555,54113
0.7031441624468442,54463
0.7032128758009704,54813
0.7030459091911059,55163
0.7022319968746843,55513
0.7020626920032036,55863
0.7016215548767818,56213
0.7013835248530309,56563
0.7014598670493416,56913
0.701083740508837,57263
0.7007781562809585,57613
0.7004345469781138,57963
0.7003939427023527,58313
0.7001260653083468,58663
0.6998771890316733,59013
0.7002239239530977,59363
0.7000339861564879,59713
0.7000293992196693,60063
0.6998117697509489,60413
0.6992511130182084,60763
0.6987165588411729,61113
0.6985871483733063,61463
0.6985927236647589,61813
0.6984934368878429,62163
0.6992451227257268,62513
0.6989628654835334,62863
0.6988796183925035,63213
0.6986133855206667,63563
0.6986623810013142,63913
0.6983984380845827,64263
0.6980177613422696,64613
0.6981216171729648,64963
0.6975175867902983,65313
0.6975750789559408,65663
0.6975582036668513,66013
0.6971162550944178,66363
0.6968766042472168,66713
0.6965783863362309,67063
0.6975289797337125,67413
0.6967131689462712,67763
0.6967541508189966,68113
0.6966515226322668,68463
0.6966682436542934,68813
0.6963749927580147,69163
0.6964215939999604,69513
0.6962725807211161,69863
0.6961695065693407,70213
0.6957041102208243,70563
0.6957892237901699,70913
0.6957192717871211,71263
0.6956006765630146,71613
0.6957786813189564,71963
0.6957885571403731,72313
0.6964750132249123,72663
0.6966637593387242,73013
0.6956317669998592,73363
0.6954787709216853,73713
0.6946686394763179,74063
0.6949942073225652,74413
0.6950836859763407,74763
0.6945602338853756,75113
0.6944935078174507,75463
0.6948607303286684,75813
0.6945661527292293,76163
0.6943147712362463,76513
0.6942199892655286,76863
0.6945862434997495,77213
0.6947260991277511,77563
0.694335393712714,77913
0.6943581867407619,78263
0.6935591128660995,78613
0.6937469517530304,78963
0.6938770001405385,79313
0.6936286322850257,79663
0.692685248753238,80013
0.6929070303871517,80363
0.6933130325268985,80713
0.6925884539122528,81063
0.6930255317431276,81413
0.6938056106330458,81763
0.6945206405769638,82113
0.6934017899058473,82463
0.6936060483993222,82813
0.6937620673134222,83163
0.6941761966783385,83513
0.6944417802793845,83863
0.6933702468156535,84213
0.6928405616874064,84563
0.6928315109329994,84913
0.693777263359327,85263
0.6931704981486463,85613
0.6934029176264987,85963
0.6936896372990361,86313
0.6930594861984636,86663
0.6928469603860385,87013
0.6921344896106894,87363
0.6923020640254731,87713
0.6924133108816799,88063
0.6921177303140603,88413
0.6917371059109355,88763
0.692088402048564,89113
0.6918963925399765,89463
0.6929808311249988,89813
0.6949813189453864,90163
