Entropy KNNBasic neigh=15,x
0.8012181597199641,20163
0.8001992505776561,20513
0.799572588786216,20863
0.7975139156051649,21213
0.7957984668773883,21563
0.7947772252735701,21913
0.7937354169844876,22263
0.7923859578084168,22613
0.7915973941074652,22963
0.7907733680241048,23313
0.7907488425196914,23663
0.789806306982006,24013
0.788505924266688,24363
0.787323204857299,24713
0.7870075734410249,25063
0.7864718550941914,25413
0.785220725559444,25763
0.784532876817559,26113
0.7832638909576565,26463
0.782044652128335,26813
0.7808297884232346,27163
0.7801835046951051,27513
0.7794084525392309,27863
0.7788019944022476,28213
0.7779245128653786,28563
0.7770484510842919,28913
0.7762281590733074,29263
0.7753879688786696,29613
0.7743091780422532,29963
0.7736428976466541,30313
0.773175308528329,30663
0.7724489995944613,31013
0.7713454134182618,31363
0.7699899694179086,31713
0.769310756611215,32063
0.7683231906367314,32413
0.7680311034084828,32763
0.7674468846495885,33113
0.7657255458133742,33463
0.7653418893633691,33813
0.7649555593327662,34163
0.7643266305160407,34513
0.7635185617208786,34863
0.7627344617340449,35213
0.761888459142249,35563
0.7613910706901386,35913
0.7607309664822279,36263
0.7590393950777922,36613
0.7585286267627135,36963
0.7577574221939795,37313
0.7571409820967837,37663
0.7560278372164779,38013
0.7555910707871102,38363
0.7546452314960166,38713
0.7532997283020372,39063
0.7521296749773502,39413
0.751728801769937,39763
0.7512598290625794,40113
0.7506284492824303,40463
0.7495651799048534,40813
0.7493788048883758,41163
0.7486888935963886,41513
0.7473225689238314,41863
0.7467527052272559,42213
0.7459694090965537,42563
0.7452683794770399,42913
0.7444531627084809,43263
0.743996358803661,43613
0.743698893347202,43963
0.7429949337226521,44313
0.7422630283415199,44663
0.7418711883237237,45013
0.7414778344733353,45363
0.7405904862807898,45713
0.7399270095184055,46063
0.7391561652170078,46413
0.7387073106899906,46763
0.738483190493171,47113
0.7380877285050179,47463
0.7382606339412024,47813
0.7377510924254127,48163
0.7367558252659823,48513
0.7359667018914774,48863
0.7358992940617769,49213
0.7355012093539494,49563
0.7343550932825098,49913
0.7343049214564682,50263
0.7336003065222263,50613
0.7332123465314812,50963
0.7324461847069592,51313
0.7322406702323053,51663
0.7309631325947038,52013
0.7302668878854461,52363
0.729907166707311,52713
0.7288936368147887,53063
0.7287192188166244,53413
0.7284736488392984,53763
0.7278957250187768,54113
0.7275157469428317,54463
0.7267334786326419,54813
0.7264645532275327,55163
0.7260328595515118,55513
0.724829496846853,55863
0.7243502181209274,56213
0.7242310383712829,56563
0.7243130551291028,56913
0.7241375705673195,57263
0.7236289604796405,57613
0.7223909427492416,57963
0.7218144698554634,58313
0.721359487046443,58663
0.7211997600491156,59013
0.7207351265282574,59363
0.7207046456233197,59713
0.7202883556855418,60063
0.7195378351240675,60413
0.7185962012553444,60763
0.7184204064985322,61113
0.71828093991674,61463
0.7168390237712712,61813
0.7164875825754512,62163
0.7167103434491799,62513
0.7163351825223537,62863
0.7156753357331843,63213
0.7152421957677579,63563
0.7145210048551942,63913
0.7141007943892341,64263
0.7137238210735138,64613
0.7128094955933518,64963
0.7122581998289755,65313
0.7110358778108451,65663
0.710651897389477,66013
0.7099403605629219,66363
0.7087722264021666,66713
0.7080140742023325,67063
0.7073364482660324,67413
0.7075209745253523,67763
0.707717714614667,68113
0.7074902119448875,68463
0.7067293346225477,68813
0.7065162371733633,69163
0.706686810278953,69513
0.7061702127497992,69863
0.7058205186761567,70213
0.7057683889331361,70563
0.7055073765770009,70913
0.7049761747303132,71263
0.7041397931016954,71613
0.703396804832969,71963
0.7028240452000263,72313
0.7029099331971944,72663
0.7021076721296964,73013
0.7014485449706555,73363
0.7008979996336993,73713
0.700659941562476,74063
0.7002492140756196,74413
0.6995736558633212,74763
0.6991718726630769,75113
0.6982150094116488,75463
0.697734587801594,75813
0.6971918536557309,76163
0.6968550471460412,76513
0.6963245092573924,76863
0.695152822024496,77213
0.6945266324938832,77563
0.6930332961444992,77913
0.6932395353389671,78263
0.6929172567221384,78613
0.6925116600988669,78963
0.6933086459889362,79313
0.6910662144348559,79663
0.6907145328082874,80013
0.6912208881143269,80363
0.6903278112735007,80713
0.6886508369689927,81063
0.6882001587100122,81413
0.6870578956646188,81763
0.6854261626654897,82113
0.6842911500949803,82463
0.684422772375104,82813
0.6841892724688582,83163
0.6849492839836822,83513
0.6847766208078796,83863
0.6827885221367084,84213
0.6815462669268768,84563
0.6809610190243222,84913
0.6808653492741767,85263
0.680360988212558,85613
0.6805818013738618,85963
0.681916243407451,86313
0.6811968315284536,86663
0.6795520166608191,87013
0.678244431140077,87363
0.6772618115314014,87713
0.677120426207264,88063
0.6772370393864279,88413
0.6762334304604729,88763
0.6751101921790131,89113
0.6753656411927023,89463
0.6724395445558388,89813
0.6711039962604864,90163
