Uncertainty KNNBaseline neigh=15,x
0.7340044713074102,20163
0.7334935162602808,20513
0.7326382404156674,20863
0.732063147419238,21213
0.7309697989512082,21563
0.7296677883076857,21913
0.7282044997977613,22263
0.7278585996967923,22613
0.7265456767501395,22963
0.7257788259400011,23313
0.7243239905621804,23663
0.7236842267417314,24013
0.7233069653401948,24363
0.7223097101362305,24713
0.7217542259602979,25063
0.7208793467127977,25413
0.7205063525352895,25763
0.7196801163110501,26113
0.7186002529695396,26463
0.7172706072894307,26813
0.715725445663468,27163
0.7153925826700179,27513
0.7147603852115253,27863
0.7145657541504538,28213
0.7142805970722699,28563
0.7142703254820179,28913
0.7136006821415868,29263
0.7128741687351005,29613
0.7124538193544895,29963
0.7123523661583756,30313
0.7114013653557677,30663
0.7098418560833494,31013
0.7095354214626052,31363
0.7087152298320485,31713
0.7076327992134119,32063
0.7069000695077932,32413
0.7063076048512712,32763
0.7060646871052128,33113
0.7053073736398561,33463
0.7048313768543678,33813
0.7040985983457484,34163
0.7030900006333679,34513
0.7028140657946598,34863
0.7023036516150785,35213
0.7019544486700439,35563
0.7014831733266126,35913
0.7011038156847943,36263
0.7006361037829093,36613
0.7001017020653494,36963
0.6992093298675139,37313
0.6990411258293562,37663
0.6981647543999068,38013
0.6977317546526092,38363
0.6978206782156335,38713
0.6973304849867383,39063
0.6978015131886041,39413
0.6974115951326613,39763
0.6973363154242362,40113
0.6972222821888802,40463
0.6966739750560338,40813
0.6960947557211596,41163
0.6953361664184553,41513
0.6952511230309883,41863
0.6947985199150163,42213
0.6945581189128163,42563
0.6942685606896627,42913
0.6933888961845822,43263
0.6922156054551868,43613
0.6914757280724139,43963
0.6910504084286079,44313
0.6907258040771136,44663
0.6906838509716324,45013
0.6904370183834114,45363
0.6900283168652783,45713
0.6898691213822087,46063
0.689304035591204,46413
0.6888948904030617,46763
0.6889179465908413,47113
0.6887733773616856,47463
0.6884227347980757,47813
0.6871377586386167,48163
0.686331635315799,48513
0.6860111295942859,48863
0.6852904118463109,49213
0.6848836033982436,49563
0.6848419093159263,49913
0.6847130068918929,50263
0.684248134983799,50613
0.6836914369795507,50963
0.6830408708403961,51313
0.68329632773215,51663
0.6831136190947834,52013
0.6825726788388623,52363
0.6825011060363975,52713
0.6821966422734368,53063
0.6822038785179717,53413
0.6819425023779502,53763
0.6813012993008714,54113
0.6810308054703009,54463
0.6812247758307656,54813
0.6807555639552879,55163
0.6807930559433313,55513
0.6800623056633347,55863
0.6800103465068805,56213
0.6796898694443415,56563
0.6796864488627185,56913
0.6793107088998082,57263
0.6797472753774828,57613
0.6792122705214456,57963
0.6790611283225545,58313
0.6787440671639912,58663
0.6786063780023652,59013
0.6774828159893037,59363
0.6771967155753014,59713
0.6764483412169094,60063
0.6767174783796953,60413
0.675894858199838,60763
0.674815516288206,61113
0.6741823152123624,61463
0.6738892815104529,61813
0.6743682629500919,62163
0.6746568179521703,62513
0.6746830675600719,62863
0.6748205897519528,63213
0.6748123243898335,63563
0.6738816779644201,63913
0.6739197757014666,64263
0.6729223235266547,64613
0.6727852442332921,64963
0.6722866283896225,65313
0.6724060343001198,65663
0.6717027221316443,66013
0.6709314305316,66363
0.670809741692146,66713
0.6703264271491866,67063
0.6694763254134137,67413
0.6696305433154642,67763
0.6690168063212792,68113
0.6688525369459828,68463
0.6682990121545508,68813
0.6674816937466921,69163
0.6675336346397235,69513
0.6666271501096456,69863
0.6663282488287702,70213
0.666189358371811,70563
0.6664258764371913,70913
0.6661284959450229,71263
0.665614826922615,71613
0.665828208887611,71963
0.6640890091229164,72313
0.6636581319279582,72663
0.6629208990972235,73013
0.6619228171311698,73363
0.6611132593155383,73713
0.6607403702238599,74063
0.6610805409034378,74413
0.6598123340706612,74763
0.6604260145883903,75113
0.6593609233261363,75463
0.658777925521372,75813
0.6587014346880067,76163
0.6579874837129251,76513
0.6580296396333498,76863
0.6571319495045606,77213
0.6567893855044532,77563
0.6561669724032629,77913
0.6559046335554698,78263
0.6557428095147474,78613
0.655145806711481,78963
0.6555545844316456,79313
0.654875033226282,79663
0.6542237768913862,80013
0.6546328812334039,80363
0.6526193767425981,80713
0.6513699981557265,81063
0.6509976487183452,81413
0.6509897707133895,81763
0.6506072872449531,82113
0.6507658941492801,82463
0.6510396342415827,82813
0.6504786802939233,83163
0.650648169001046,83513
0.6502703445609737,83863
0.6503995467127469,84213
0.6508104504317117,84563
0.6513777317900538,84913
0.6507926435573398,85263
0.6502234861777132,85613
0.6497141970154826,85963
0.6501900907129373,86313
0.6498628518300812,86663
0.6502843257467336,87013
0.6504687412951428,87363
0.6481744791615734,87713
0.6472836750848711,88063
0.6468196749367585,88413
0.6464617871753713,88763
0.6465642916306668,89113
0.6452539049569828,89463
0.6452048607149026,89813
0.645805108569863,90163
