Entropy KNNWithZScore neigh=20,x
0.7465437755441348,20163
0.7461318890669689,20513
0.7454452344923703,20863
0.7447783548900558,21213
0.7440626771530333,21563
0.7433267010240545,21913
0.7425634650141112,22263
0.7425529970331013,22613
0.7418335577863632,22963
0.7409298253889028,23313
0.7407309401111077,23663
0.7401797799874719,24013
0.7396919578797488,24363
0.7387375152786719,24713
0.7388204255052224,25063
0.737347629892856,25413
0.7362567267872467,25763
0.735373414239706,26113
0.7343735448154739,26463
0.7332257235982172,26813
0.732431307040765,27163
0.7321691092831923,27513
0.7316821443667597,27863
0.7312665449950686,28213
0.7308892549774589,28563
0.7299366265673516,28913
0.7288949947237092,29263
0.7282801872634916,29613
0.7280174433153824,29963
0.7276576221790086,30313
0.7271157215539471,30663
0.7262399098757881,31013
0.7263743262949678,31363
0.725935968863186,31713
0.7254717587890634,32063
0.725016455388209,32413
0.7246517639501207,32763
0.7240228811149653,33113
0.7234273425966617,33463
0.7229205713699373,33813
0.7227499205185008,34163
0.7221119561783027,34513
0.7213722764278169,34863
0.7205609366966605,35213
0.7204297827162229,35563
0.7196371015306608,35913
0.7193246429159321,36263
0.7184906844717813,36613
0.7179928908027325,36963
0.7175183131323857,37313
0.7170989165146779,37663
0.7160896931662046,38013
0.7159472769794359,38363
0.7157891315768483,38713
0.7151388816414922,39063
0.7143848218505954,39413
0.7132980043219458,39763
0.7124433481023565,40113
0.7116823317626558,40463
0.710895020807959,40813
0.7102911167863182,41163
0.7098687387448744,41513
0.7089918008809211,41863
0.7082025504481588,42213
0.7078913409594142,42563
0.70755191654411,42913
0.7064991732995316,43263
0.7054130171352032,43613
0.7051762364273308,43963
0.7046856505574648,44313
0.70381147206208,44663
0.7033958108638543,45013
0.7031971024391808,45363
0.7023817552299587,45713
0.7017524684155422,46063
0.7013170043057227,46413
0.7006356904817246,46763
0.6997431179224757,47113
0.6995267237947832,47463
0.698485734479709,47813
0.6971426911732634,48163
0.6963982749062065,48513
0.695722109911181,48863
0.6945065924624152,49213
0.6942061580873894,49563
0.6936848851496387,49913
0.6931443413919237,50263
0.6926957335229381,50613
0.6920981357831848,50963
0.6910894075378873,51313
0.6908926241396273,51663
0.690332224352062,52013
0.6897260024423277,52363
0.6887176710240885,52713
0.6886823379911563,53063
0.6883719542385005,53413
0.6876826377401365,53763
0.6877543791716125,54113
0.687338022341088,54463
0.6869304464133985,54813
0.6871091227886533,55163
0.6870038616298717,55513
0.6865834653804714,55863
0.6858277828430428,56213
0.6857486321089307,56563
0.6853040339949033,56913
0.6857190197371043,57263
0.6853044218322173,57613
0.6853371892187267,57963
0.6846565026631445,58313
0.6849978538942713,58663
0.6847202191841987,59013
0.6843266321305207,59363
0.6841706823167857,59713
0.6843895720071775,60063
0.6842679038209422,60413
0.6835197431227571,60763
0.6820754043073186,61113
0.682660868286885,61463
0.6819347225654319,61813
0.681713954608838,62163
0.6813446517237965,62513
0.6802476110640864,62863
0.6800034267968229,63213
0.6798619891002666,63563
0.6789941297452623,63913
0.6786992019676045,64263
0.67798386527949,64613
0.677882043009004,64963
0.6767167829910201,65313
0.6762738753727237,65663
0.6762502962704922,66013
0.6759906908097224,66363
0.6752766758208718,66713
0.6745939272497924,67063
0.6738785836566688,67413
0.6724444281107061,67763
0.672339600205621,68113
0.6712343020191899,68463
0.6707327912187313,68813
0.6700159050525025,69163
0.6696935886303594,69513
0.6693589056327525,69863
0.6693057852514691,70213
0.6679198604284556,70563
0.6679384671189907,70913
0.667138712625758,71263
0.666838400500694,71613
0.6678931641065177,71963
0.6676244137359412,72313
0.6673426138684968,72663
0.6666290610230894,73013
0.6658691903824787,73363
0.6649574788073143,73713
0.6646267175487711,74063
0.6651285467822852,74413
0.6646746157879009,74763
0.6649033192768128,75113
0.6645625050582142,75463
0.6638308297530381,75813
0.6633494447524417,76163
0.6629782279411078,76513
0.6624494882577391,76863
0.6611414762327428,77213
0.6589969238058434,77563
0.6591061863614543,77913
0.6583765817587676,78263
0.6572321771122805,78613
0.6556762313403377,78963
0.6541478671287813,79313
0.6546468190215565,79663
0.6547700512052997,80013
0.6545490825741913,80363
0.6546456845100411,80713
0.6552048267208544,81063
0.6536060648962668,81413
0.6530875641979222,81763
0.6530554278588087,82113
0.6526052699897197,82463
0.6517683897510799,82813
0.6519571324297007,83163
0.652026874436545,83513
0.6531747813413715,83863
0.6528964700486467,84213
0.6529287356517289,84563
0.6507499952213706,84913
0.6496926824365735,85263
0.6504055073178812,85613
0.6509766300194807,85963
0.6491869366036027,86313
0.6497235520629326,86663
0.6489931221113912,87013
0.6486257789577843,87363
0.647331746000904,87713
0.6469689665796162,88063
0.6455921149943983,88413
0.6431066397129159,88763
0.6410442172853174,89113
0.6414909501186619,89463
0.6428046150872779,89813
0.6417717291161994,90163
