Uncertainty KNNWithMeans neigh=15,x
0.7538817575374241,20163
0.7533341458677021,20513
0.7527846040300699,20863
0.7521984222164755,21213
0.7513480995698383,21563
0.7499161367280699,21913
0.7482888680554921,22263
0.7477052873534437,22613
0.7464919394394846,22963
0.7457664683920188,23313
0.7440959176680714,23663
0.7436876061510882,24013
0.7434874346211076,24363
0.7423879476757321,24713
0.7417838175134381,25063
0.7410076609326868,25413
0.7405791838771845,25763
0.7398987109244798,26113
0.7389713801741082,26463
0.7373467664278845,26813
0.7357903666958234,27163
0.735370145011308,27513
0.7346038767315219,27863
0.7342982803443958,28213
0.7338300940893155,28563
0.7339127950143105,28913
0.7333313533495408,29263
0.7321096851498183,29613
0.7316001437493366,29963
0.7314151225799381,30313
0.7303741725225278,30663
0.7289212808921358,31013
0.7284706328466269,31363
0.7276448608760643,31713
0.7265570303685606,32063
0.7260306638735748,32413
0.7252597442926726,32763
0.7250419358674164,33113
0.7244272786354147,33463
0.7240976062891015,33813
0.7232259748832252,34163
0.7223514060493766,34513
0.7222270450475226,34863
0.7217914573224925,35213
0.7214803809600986,35563
0.7206718118975658,35913
0.7202569932869388,36263
0.7196685003815749,36613
0.7189456600346499,36963
0.7180196897054867,37313
0.7179239097057697,37663
0.7168184499738659,38013
0.7162499157910556,38363
0.7164619628118994,38713
0.7158853079517138,39063
0.7165272533572572,39413
0.7162767393661543,39763
0.7162264880723057,40113
0.7160201268044654,40463
0.7155730028002025,40813
0.7150258483939129,41163
0.7143036604730123,41513
0.7142528335372831,41863
0.7138811127691055,42213
0.7137143254931715,42563
0.7132477005840836,42913
0.7124716907000159,43263
0.7113996429057008,43613
0.7106670725310759,43963
0.7103681139360688,44313
0.7100671426078914,44663
0.7101277406753324,45013
0.7098499374659023,45363
0.7093149298247398,45713
0.7088157672548524,46063
0.708302645192841,46413
0.7080603551957089,46763
0.7081583900710162,47113
0.7080838343921503,47463
0.7077396337052438,47813
0.7063775069075309,48163
0.7053080296510369,48513
0.7046516049283359,48863
0.703839700338445,49213
0.7037134057443261,49563
0.7038038443047584,49913
0.7038828987921508,50263
0.7034801908149095,50613
0.7030150302425989,50963
0.7023511920167486,51313
0.7025120668253394,51663
0.7025316148939238,52013
0.7020962806467154,52363
0.7021950956214695,52713
0.7019766214182629,53063
0.7020957306541908,53413
0.7019924644557336,53763
0.7015253830113433,54113
0.7013147477015139,54463
0.7015075618229053,54813
0.7010860846676813,55163
0.7010809008363418,55513
0.7004299414495206,55863
0.7000582310628848,56213
0.6999133622007524,56563
0.6999791903060302,56913
0.6997995766565024,57263
0.7001696318997509,57613
0.6996561912270389,57963
0.6993713706554879,58313
0.6991285527813171,58663
0.6990458527784771,59013
0.6981566779786942,59363
0.6977318328066066,59713
0.6967260617295391,60063
0.6966875055604366,60413
0.6958751635420526,60763
0.6945934823831482,61113
0.6942697565283478,61463
0.6939446967429174,61813
0.6944522008978006,62163
0.6945643677279835,62513
0.6943689485574066,62863
0.6944798862320228,63213
0.6945218336647633,63563
0.6937434136438996,63913
0.6935940470859518,64263
0.692695311429417,64613
0.6924765297859061,64963
0.6918952870003565,65313
0.6916885734456082,65663
0.6909259521297784,66013
0.6903475733163196,66363
0.6900342510188818,66713
0.6895691654022336,67063
0.6886353204198444,67413
0.6890287944782497,67763
0.6884012309453519,68113
0.6881054514273867,68463
0.6874775234107896,68813
0.6867745245826493,69163
0.6868748835101162,69513
0.6859771461379511,69863
0.6857688379438595,70213
0.6856716557221779,70563
0.6859788441094661,70913
0.6859132122390257,71263
0.6852653797582683,71613
0.6857254602339778,71963
0.6842416379548472,72313
0.6837194051075165,72663
0.6827242600940215,73013
0.6817155449347057,73363
0.6812747273862743,73713
0.6808283038558317,74063
0.6807011773726861,74413
0.6792946849540538,74763
0.6796594705611013,75113
0.6786451719993096,75463
0.6782978688525875,75813
0.6779320890851251,76163
0.6769196782842108,76513
0.6773225409541419,76863
0.6760913257542462,77213
0.6757213379892826,77563
0.6747747592128709,77913
0.6745271078633528,78263
0.6741915114684367,78613
0.6737217835313924,78963
0.6742470766979983,79313
0.6738011268159715,79663
0.6731359441438952,80013
0.6733938123414898,80363
0.6717664602005564,80713
0.6702222604639436,81063
0.6697325486810197,81413
0.6697881188513882,81763
0.6691766512502255,82113
0.6693658636831065,82463
0.669603130068413,82813
0.6689173839685049,83163
0.6694469180615914,83513
0.6691673182750341,83863
0.6691832344372546,84213
0.6693853275892027,84563
0.6700631543697594,84913
0.6693492349036915,85263
0.668618963880261,85613
0.6684647473937622,85963
0.6688657004412205,86313
0.6690183567025071,86663
0.6695294725913558,87013
0.6697909709271642,87363
0.6676241204604716,87713
0.6668999892941637,88063
0.6668710917149309,88413
0.6663394569440017,88763
0.6663579990385601,89113
0.6645612822692268,89463
0.6646776075652954,89813
0.6654982680558453,90163
