Uncertainty KNNBasic neigh=20,x
0.8010672829564079,20163
0.7996261546808864,20513
0.7983834126012426,20863
0.7974654447569444,21213
0.7968178885399606,21563
0.7955172668930223,21913
0.7949536742106911,22263
0.7941710420345366,22613
0.793395666661842,22963
0.7923504602614476,23313
0.7919427727601054,23663
0.7913021967838566,24013
0.7902751153077773,24363
0.7895491948487713,24713
0.7883758714526256,25063
0.7871190149021368,25413
0.7853236746222766,25763
0.7834954497016117,26113
0.7829780896358209,26463
0.7815697156712861,26813
0.7808823039384081,27163
0.7798555050991507,27513
0.7792399662970471,27863
0.7789637201263903,28213
0.777955911206131,28563
0.777060231468648,28913
0.7763481314857773,29263
0.775048797246106,29613
0.7739008823170371,29963
0.7729839426865596,30313
0.7726071567562831,30663
0.7716011512937008,31013
0.7699323865354312,31363
0.7697988501481267,31713
0.7687015238750646,32063
0.7680250696518702,32413
0.7674439826775241,32763
0.7672733590387534,33113
0.7666210243550374,33463
0.7659020900290725,33813
0.7652447287781832,34163
0.7641912548910815,34513
0.7634686544096824,34863
0.7630840723499225,35213
0.7617944658617019,35563
0.7603586837595689,35913
0.7597534795455766,36263
0.7590265009662827,36613
0.7579804664918589,36963
0.7572590976407115,37313
0.7568309664146076,37663
0.7557108164027004,38013
0.7546487966419714,38363
0.7538590365761569,38713
0.7535040938218026,39063
0.7533397872477594,39413
0.7527470030523312,39763
0.7528024964948615,40113
0.7522912682865003,40463
0.7518638764362648,40813
0.7519291239541892,41163
0.7515776400227803,41513
0.7513155594163486,41863
0.7506757476061726,42213
0.7501602544575268,42563
0.749449150444271,42913
0.7486305234113408,43263
0.7469481166412848,43613
0.7462242680803167,43963
0.7455182186403893,44313
0.7448633577413742,44663
0.7445282900005548,45013
0.7440963840624478,45363
0.7430939765780635,45713
0.7421619908447129,46063
0.7416296407331405,46413
0.7407655883617251,46763
0.7407413173633856,47113
0.7405528322106201,47463
0.7397937104314369,47813
0.7387769459837679,48163
0.7379010406558851,48513
0.7371570259691467,48863
0.7365749122505019,49213
0.7361319419850179,49563
0.7361165009325443,49913
0.7360349751993649,50263
0.7352301482349711,50613
0.7345388281678934,50963
0.7342384440710156,51313
0.7332905994625124,51663
0.7329036569695242,52013
0.7326835082985955,52363
0.7323023289102725,52713
0.7312522013150865,53063
0.7306555256315679,53413
0.7303600023119513,53763
0.7292110158006133,54113
0.7283916817690838,54463
0.7277370966457721,54813
0.727312664586422,55163
0.7274172054567031,55513
0.7261676627751733,55863
0.7262352506038652,56213
0.7250290432504798,56563
0.7255219587200429,56913
0.7244925157055776,57263
0.7247965602914205,57613
0.7243771278144295,57963
0.7241035328126691,58313
0.7240521515592259,58663
0.7235131509875365,59013
0.7225644285594491,59363
0.7218018960819885,59713
0.7210977407877475,60063
0.7210501971312657,60413
0.7205119296084507,60763
0.7197284530805159,61113
0.7196421499263889,61463
0.7192343521599203,61813
0.7194644348586267,62163
0.7190940169496258,62513
0.7193249251289074,62863
0.7193037061743396,63213
0.7191920650196058,63563
0.719014931028006,63913
0.7191188910948587,64263
0.7185112434554606,64613
0.7187653129667596,64963
0.7174319193154151,65313
0.7174556829044425,65663
0.7176258828540547,66013
0.7174306344748744,66363
0.717243554860747,66713
0.7169621479852206,67063
0.7168319731723247,67413
0.7157456338052329,67763
0.7157288202311748,68113
0.7151350432616493,68463
0.7145824391588496,68813
0.7141529627915232,69163
0.7124636027972084,69513
0.7108549741752149,69863
0.7103448127937348,70213
0.7095140911949984,70563
0.7099354101260384,70913
0.7103867276202062,71263
0.7098969755269038,71613
0.7096521572486031,71963
0.7093710647728478,72313
0.7093260486996231,72663
0.7089343026316074,73013
0.708429600055313,73363
0.7080328704582692,73713
0.7077453332587877,74063
0.7076536686424364,74413
0.7060172567302423,74763
0.7046354899196654,75113
0.7039540517228241,75463
0.7043192125449929,75813
0.703654571609495,76163
0.7031346810872211,76513
0.703085766605323,76863
0.7032655031831042,77213
0.7019507568821413,77563
0.7014031516005473,77913
0.7008721616137784,78263
0.699788545339456,78613
0.6998290185433181,78963
0.6995513441146801,79313
0.7006668610947038,79663
0.7016629937993547,80013
0.7009222424090025,80363
0.7012967631662929,80713
0.7005289342482659,81063
0.6992376691209783,81413
0.6996818736928285,81763
0.700109944068172,82113
0.6992911989247175,82463
0.6971460069295089,82813
0.6959869372842282,83163
0.6965003521274431,83513
0.6970417169653729,83863
0.6961827332768081,84213
0.6947474861760276,84563
0.6942004239248578,84913
0.6941030393569412,85263
0.6932941391128458,85613
0.6928110213655557,85963
0.6917515471831681,86313
0.6927887648671301,86663
0.6928761057806071,87013
0.6917484762619089,87363
0.6904180769271261,87713
0.6892404381438437,88063
0.6875011626716439,88413
0.6857685708027655,88763
0.6857085988822584,89113
0.6829803089463401,89463
0.6822416390681323,89813
0.6788780643702705,90163
