Entropy KNNWithMeans neigh=20,x
0.7531262545626662,20163
0.7527991625029228,20513
0.7522315998274245,20863
0.7514926629321994,21213
0.7507856891379586,21563
0.7500856794017228,21913
0.7492389429909753,22263
0.7492061645831037,22613
0.748547717335919,22963
0.7474583680669475,23313
0.7471067126551338,23663
0.7467887162703374,24013
0.7462033335767467,24363
0.7453583035113835,24713
0.7453383573790265,25063
0.7441319021443902,25413
0.7432126001473206,25763
0.7421982438198746,26113
0.7413836781712464,26463
0.7403632648999993,26813
0.7396923976878739,27163
0.7393337988829732,27513
0.7390043914803398,27863
0.738499237247037,28213
0.738329972116409,28563
0.7373059284889402,28913
0.7361896057651834,29263
0.7356607096557675,29613
0.7355124024062328,29963
0.7349708741167695,30313
0.7343584074616238,30663
0.7336201714166989,31013
0.7337458503576993,31363
0.7333231941148783,31713
0.7327989665978574,32063
0.7325885435119153,32413
0.7322932157322268,32763
0.7315707642903009,33113
0.7310836409491336,33463
0.730665858488218,33813
0.7306671125353312,34163
0.7299546062597255,34513
0.7292156008651015,34863
0.7285631665453792,35213
0.7284349572815776,35563
0.7275077777823108,35913
0.727089656787,36263
0.7262858149060839,36613
0.7259248781725839,36963
0.7254888943793829,37313
0.7250569224033894,37663
0.7240010976625704,38013
0.7237907292231254,38363
0.7235320649208098,38713
0.7229308182169488,39063
0.7222139793191278,39413
0.7213629696236538,39763
0.7205493324364196,40113
0.720029278336915,40463
0.719223462695475,40813
0.7185374261179747,41163
0.7181051776049411,41513
0.7172322237922653,41863
0.7164302756071098,42213
0.7158563152072914,42563
0.7154814777274002,42913
0.7144680329071253,43263
0.7134570282543096,43613
0.7133035010130895,43963
0.7127196198686626,44313
0.7116795286159455,44663
0.7112283713752778,45013
0.7109255004294165,45363
0.7101250520847564,45713
0.7096246061732063,46063
0.7092430360054021,46413
0.7085782613770178,46763
0.7074768600050684,47113
0.7072043707158203,47463
0.706247083605765,47813
0.7052379024355068,48163
0.7044163118573922,48513
0.7037135212694288,48863
0.7026401182041734,49213
0.7022766432836942,49563
0.7018861869591926,49913
0.7012616707514575,50263
0.7008407416305318,50613
0.7001306753008653,50963
0.6991278905655699,51313
0.6989828832974736,51663
0.6983321522709411,52013
0.6976348835266691,52363
0.6967749730467939,52713
0.6965578284444313,53063
0.696379135263041,53413
0.6955885864539377,53763
0.6953374832606056,54113
0.6951061365658531,54463
0.6946374076608579,54813
0.6947641184068959,55163
0.6946154389235166,55513
0.6942069061951531,55863
0.6934777653376857,56213
0.6934348277812886,56563
0.6929954122799054,56913
0.6934311415810819,57263
0.6930336347581441,57613
0.6931990678680813,57963
0.6925137138392987,58313
0.6929340597623893,58663
0.6925431849815649,59013
0.6921912424712418,59363
0.6921249168000714,59713
0.6922355541308068,60063
0.6919567926146514,60413
0.6911388792525833,60763
0.6897791074797222,61113
0.6902959008446581,61463
0.6893477388266108,61813
0.6891799367829011,62163
0.6889562673852185,62513
0.6878513278079937,62863
0.68750880523794,63213
0.6874053773257042,63563
0.6863575236266342,63913
0.686113089421295,64263
0.6855536254840415,64613
0.6853305485884627,64963
0.6842811176259055,65313
0.6838314284408556,65663
0.6836936230655142,66013
0.683570611789205,66363
0.6829703227165428,66713
0.6822367702785523,67063
0.6817090523916443,67413
0.6806116774854554,67763
0.6804457691467314,68113
0.6793409967433034,68463
0.6789246311092862,68813
0.6783083421546839,69163
0.6780544924900808,69513
0.6775914849026449,69863
0.6777327367081328,70213
0.6763570885989195,70563
0.6763067320290215,70913
0.6758459311102334,71263
0.6757152884117447,71613
0.6769874450185737,71963
0.676798033337127,72313
0.6762524542230525,72663
0.6757661121350262,73013
0.6750274414176327,73363
0.6740805103803916,73713
0.6735134207846275,74063
0.6738142626137748,74413
0.6735112910262454,74763
0.6739495499245908,75113
0.6734866420206296,75463
0.6725766308996755,75813
0.6722733367796393,76163
0.6718132923699676,76513
0.6710558221642536,76863
0.6696929148915919,77213
0.6675685081072206,77563
0.6676490154292942,77913
0.6667078297550629,78263
0.6657244816974754,78613
0.6643070095680751,78963
0.6629737979193241,79313
0.6633746189898527,79663
0.6636651127722929,80013
0.66345825248246,80363
0.6637379865894244,80713
0.6640808226350909,81063
0.6628808064459141,81413
0.6626135320185669,81763
0.6624258138410026,82113
0.662066029380883,82463
0.6614609830414951,82813
0.6614013940970592,83163
0.6617353632880346,83513
0.6629229612996888,83863
0.6626633525134568,84213
0.6625052060195028,84563
0.6608271374559047,84913
0.6596662565220069,85263
0.6606325697780838,85613
0.6613286290966941,85963
0.6595783143403721,86313
0.6600361574482312,86663
0.6593965259229027,87013
0.6593634263558422,87363
0.6577174205704501,87713
0.6567594034027682,88063
0.6552151369804038,88413
0.652696485655751,88763
0.6507280208242162,89113
0.6514463114332361,89463
0.6524672394972916,89813
0.6514036785145777,90163
