Uncertainty KNNWithZScore neigh=10,x
0.7495711756267083,20163
0.7481044301477581,20513
0.7469980326892285,20863
0.7454647985015938,21213
0.7447963244493866,21563
0.7438594387220223,21913
0.7428752860958193,22263
0.7426987405707002,22613
0.74189275828437,22963
0.7410343904213262,23313
0.7404318164558623,23663
0.7398247476148666,24013
0.7392238528122842,24363
0.7385947703200233,24713
0.7375239962242588,25063
0.7369422261662525,25413
0.7367620860012617,25763
0.7358160163145191,26113
0.7349747795549354,26463
0.734124555546209,26813
0.7330462136821281,27163
0.7328309273447705,27513
0.7315913377922534,27863
0.7307626683606779,28213
0.7308798257514809,28563
0.7302140972766332,28913
0.7300090014410364,29263
0.7290524942224118,29613
0.7289237741338485,29963
0.7279983165170617,30313
0.7271866380395113,30663
0.7269737743948681,31013
0.7265724172742256,31363
0.7260771021800421,31713
0.7251343005987243,32063
0.7246237254293968,32413
0.7241732199269608,32763
0.7236249142222809,33113
0.7227704761486176,33463
0.7222165066827639,33813
0.7219909240147383,34163
0.7208979148091045,34513
0.7204636197693264,34863
0.720154529126861,35213
0.7194827974902537,35563
0.7191941233145469,35913
0.7187884776226012,36263
0.7181340374323891,36613
0.717558995445282,36963
0.7167275249486206,37313
0.7160074126714812,37663
0.7157847795151799,38013
0.7154413977780995,38363
0.7142349724488826,38713
0.7136137419393788,39063
0.7135625070816587,39413
0.7131980877036699,39763
0.7121824830910944,40113
0.7113654492116044,40463
0.7113071131776693,40813
0.7106193126803753,41163
0.7101284103608712,41513
0.7105045846477029,41863
0.7105381176406359,42213
0.7102965140256159,42563
0.7103053262844391,42913
0.7100773606337076,43263
0.7100578556216782,43613
0.7102225481378113,43963
0.7091873043503945,44313
0.7089926692695152,44663
0.7083369008068784,45013
0.7078895136763853,45363
0.7076986692202244,45713
0.7075322857159899,46063
0.7071366632610051,46413
0.7066636679437257,46763
0.7065439656099334,47113
0.7059441544423031,47463
0.7053798142474587,47813
0.7055301910356913,48163
0.7046894672890921,48513
0.7044352086330057,48863
0.7041466195272653,49213
0.7038420562120367,49563
0.7037638994002329,49913
0.7040280664698203,50263
0.7039007619684012,50613
0.703778763412021,50963
0.7031411626730577,51313
0.7029493202510849,51663
0.7029137617884899,52013
0.702401849824557,52363
0.702038238388913,52713
0.7018605504371687,53063
0.7012878555516271,53413
0.7009580507706241,53763
0.7008374449209795,54113
0.7011768885240587,54463
0.7000352427045986,54813
0.6999406624707509,55163
0.7001600221454074,55513
0.7000314256484736,55863
0.6995284658468505,56213
0.6990525515563022,56563
0.6991399473723493,56913
0.6991968130779932,57263
0.6997042266912105,57613
0.6992367336377383,57963
0.6990848484291968,58313
0.6983353678345942,58663
0.6979687221911846,59013
0.6981092606272594,59363
0.6975299753123763,59713
0.6970074301842476,60063
0.6957940851442418,60413
0.6957078575913832,60763
0.6950914464515868,61113
0.6955717473432835,61463
0.6951631580285818,61813
0.6949644762377616,62163
0.6946364338300445,62513
0.6945266170028829,62863
0.6942457316075805,63213
0.6928533557332298,63563
0.6913063946428311,63913
0.6910903372116617,64263
0.6898516717550969,64613
0.6892959830064539,64963
0.6892922980811027,65313
0.6890790592209446,65663
0.6882805483575999,66013
0.6866958938356281,66363
0.6865979325754931,66713
0.6857747525940597,67063
0.6864052068693104,67413
0.6862913031542766,67763
0.6866248799522311,68113
0.6865271599111795,68463
0.6855270712071508,68813
0.6859422814420656,69163
0.6854298305519173,69513
0.6850506153704304,69863
0.6851551591697652,70213
0.684731583703714,70563
0.6842910617946263,70913
0.6848999262868241,71263
0.6843402503874428,71613
0.6830865143597201,71963
0.6833497523106778,72313
0.6834637995991805,72663
0.6838558599045699,73013
0.6843419680348439,73363
0.6846235744416508,73713
0.6846473513556864,74063
0.683871865298232,74413
0.6833215163246082,74763
0.6828728062101835,75113
0.6821025166806157,75463
0.6807577710431436,75813
0.6808079502668789,76163
0.6800623181183941,76513
0.6797619902336737,76863
0.6797539351454159,77213
0.6793870269665266,77563
0.6790395577541488,77913
0.6787778443063438,78263
0.6795420527124681,78613
0.6789272943409258,78963
0.679141254624857,79313
0.6793244210388402,79663
0.6792037121221266,80013
0.6798912099515516,80363
0.6790182898850085,80713
0.6788877616616467,81063
0.6785544161051074,81413
0.6780233578340521,81763
0.6794098757943975,82113
0.6806170504016889,82463
0.6797694013358146,82813
0.6789483564625368,83163
0.6793298917455338,83513
0.6779818456813672,83863
0.6780688790787581,84213
0.6764033779772448,84563
0.6771865031768379,84913
0.6765059607373693,85263
0.6769549447638079,85613
0.6755778589161393,85963
0.6749983031543035,86313
0.6738381391345442,86663
0.6725603571668212,87013
0.6735773221362154,87363
0.6735433761823851,87713
0.6725725771751736,88063
0.6703741893004116,88413
0.6699471223856667,88763
0.6692264243973282,89113
0.6666802382395522,89463
0.6668519243335811,89813
0.6665419052155682,90163
