Random KNNBaseline neigh=15,x
0.7340044713074102,20163
0.7328379284687292,20513
0.7312878831549047,20863
0.7303502075378199,21213
0.7285304235691773,21563
0.7274825973808341,21913
0.7265850992348312,22263
0.7259268421745589,22613
0.7248486600615691,22963
0.7236655901780021,23313
0.7232811163521915,23663
0.7230091821585608,24013
0.7213775565877911,24363
0.7206622299235946,24713
0.7202672385551214,25063
0.7191296459551639,25413
0.7181681622623743,25763
0.7177027100681541,26113
0.7170278212243592,26463
0.7164842430396015,26813
0.7147824204687013,27163
0.7141637138336011,27513
0.7137778288693121,27863
0.7130867039408888,28213
0.7127816638145533,28563
0.7117431804035506,28913
0.7113023524309031,29263
0.7105077975328509,29613
0.7093291309156988,29963
0.7084729274791174,30313
0.7075943465305434,30663
0.7072432156755337,31013
0.707044712065728,31363
0.7061515228107816,31713
0.705706720233049,32063
0.7050509198091728,32413
0.705070563101177,32763
0.7048623557285046,33113
0.7047165929349009,33463
0.7040435908675796,33813
0.703188100843384,34163
0.702597245282211,34513
0.7016928802402356,34863
0.7014491422956391,35213
0.7008920987810409,35563
0.7004595295100938,35913
0.7002638915489771,36263
0.6997049881612163,36613
0.6997217937763525,36963
0.6993696211892757,37313
0.699017801159609,37663
0.6986641916485131,38013
0.6977963390741155,38363
0.6972267669890894,38713
0.6972026340293147,39063
0.6970541119436515,39413
0.6970313240293151,39763
0.6974810850382671,40113
0.6971644273122275,40463
0.696675724976915,40813
0.6965795078973646,41163
0.6961113590210797,41513
0.6954740272220387,41863
0.6949100057845579,42213
0.6945346997429671,42563
0.6942949786548039,42913
0.6939938907071681,43263
0.6936393442433897,43613
0.6935036700940891,43963
0.6935458345278687,44313
0.6926780885119017,44663
0.6923482379901842,45013
0.6918859346001727,45363
0.6915118911523556,45713
0.6914845731541257,46063
0.6912688917960864,46413
0.6913793776088786,46763
0.6906676907930664,47113
0.6903438775065316,47463
0.6899134631533068,47813
0.6898883477527186,48163
0.6890282308992973,48513
0.6888100398179177,48863
0.6885953255956774,49213
0.6885479559638351,49563
0.6878235612578949,49913
0.6874427025147706,50263
0.6874922850530959,50613
0.6872941424561638,50963
0.6866387005150142,51313
0.686763331325981,51663
0.6871668974011297,52013
0.6871819735103124,52363
0.6867846922901527,52713
0.686142604595548,53063
0.686086576479669,53413
0.6860281184874588,53763
0.6856121304449523,54113
0.6849240082241852,54463
0.6843891434141169,54813
0.6844711211986511,55163
0.6838618297878442,55513
0.6842461834217235,55863
0.6837071174332916,56213
0.6836557300455447,56563
0.6839233024055267,56913
0.683636733110358,57263
0.6826065971833906,57613
0.6825561964602237,57963
0.6819874918575012,58313
0.6821663692547453,58663
0.68206055096891,59013
0.6812344261671806,59363
0.6814305212419687,59713
0.6812857130885169,60063
0.6810659077508338,60413
0.680901349548301,60763
0.6806582673299153,61113
0.6803955436399474,61463
0.6798840193019011,61813
0.6788299356323895,62163
0.6785942351891078,62513
0.6780446182739354,62863
0.6778412124754853,63213
0.6775093761644061,63563
0.6771954056638685,63913
0.6769450870856695,64263
0.6771306609418484,64613
0.6771053164062802,64963
0.676847290957788,65313
0.67682346008851,65663
0.6768508418397046,66013
0.6765864933605703,66363
0.6775269205605747,66713
0.677096423414766,67063
0.6768903454785002,67413
0.6768543891504432,67763
0.6764460341375589,68113
0.6762068576505464,68463
0.6762060515015529,68813
0.6758681484989956,69163
0.6760556892799452,69513
0.6759624943368568,69863
0.6758317455261352,70213
0.6755961872615845,70563
0.6750061369793204,70913
0.6747838368345233,71263
0.6743215056921985,71613
0.6740908758673478,71963
0.6740439834661637,72313
0.6736460730914902,72663
0.6737402476354742,73013
0.6742754907356657,73363
0.673709954602883,73713
0.6741680527579689,74063
0.6740057584999425,74413
0.6742513247032044,74763
0.6734917359271411,75113
0.67313506266677,75463
0.6726367687478314,75813
0.6719750979097914,76163
0.6721408727037433,76513
0.6723261135914796,76863
0.671585010071654,77213
0.6713348732761997,77563
0.6705001255687669,77913
0.6698511661032195,78263
0.6692017358474606,78613
0.668392342353271,78963
0.6685825371394364,79313
0.6687353319739883,79663
0.6685918762060028,80013
0.6685416421810232,80363
0.6685937638472761,80713
0.6691276807419576,81063
0.6693937562076333,81413
0.6700405978887568,81763
0.6690559229344334,82113
0.6696603621452414,82463
0.6699580241991369,82813
0.6687718486773105,83163
0.6684703800483963,83513
0.6692098483100497,83863
0.6694885991377233,84213
0.6687122469825207,84563
0.6693433790606348,84913
0.6693609474172659,85263
0.6704801519992062,85613
0.6706926020473386,85963
0.6693323483029656,86313
0.6693978386004672,86663
0.6692780133045603,87013
0.6670313524103328,87363
0.6661021677424707,87713
0.6662325088649248,88063
0.6660677970405013,88413
0.6666274624617077,88763
0.6671627210036071,89113
0.6674091296009595,89463
0.6678620507606292,89813
0.6673071991922837,90163
