Random KNNBasic neigh=10,x
0.802149702295042,20163
0.8010999459340472,20513
0.8000350331834876,20863
0.7991223470765382,21213
0.7981358504693784,21563
0.7968425406634212,21913
0.7957165195505957,22263
0.7938546613939906,22613
0.7938405436717938,22963
0.7932812910241984,23313
0.7919903462976168,23663
0.7916977883374412,24013
0.7909562122877619,24363
0.7892418760909586,24713
0.7885430944467299,25063
0.78815421005892,25413
0.7869692879669554,25763
0.786189042845271,26113
0.7859388807186632,26463
0.7852105198035985,26813
0.7833640147705901,27163
0.7832388966248933,27513
0.782135135615438,27863
0.7810816666669768,28213
0.7802318698195437,28563
0.7791997243420674,28913
0.7784972402423648,29263
0.7773862627663768,29613
0.776521403322369,29963
0.7759828040227178,30313
0.775234383345994,30663
0.7750004750498795,31013
0.7732713052204607,31363
0.7729362538892189,31713
0.7722890432434478,32063
0.7713872589174037,32413
0.7705385449294148,32763
0.770266699060599,33113
0.7689038175228994,33463
0.7674740715865921,33813
0.7672406941620098,34163
0.766388091318801,34513
0.7650770434490062,34863
0.7641669932943072,35213
0.7636026789475103,35563
0.7631078047643105,35913
0.7623886183533501,36263
0.7621757873622318,36613
0.7612828077901785,36963
0.760569315493702,37313
0.7600182516959018,37663
0.759139845344166,38013
0.7581056304372581,38363
0.7578539407465305,38713
0.7566109163095984,39063
0.7554366680017754,39413
0.7555327316729589,39763
0.7555543679585117,40113
0.7550589480312885,40463
0.7549972479925903,40813
0.7543720992692938,41163
0.7536573121144137,41513
0.7535763325322672,41863
0.7529830353910728,42213
0.7522050184713677,42563
0.7515466386878382,42913
0.7509678548813105,43263
0.7504915606056629,43613
0.7500411505153933,43963
0.7501249810813554,44313
0.7501483851656054,44663
0.7499413749580868,45013
0.7499247392029537,45363
0.7499215230584003,45713
0.7492406644649893,46063
0.7488242983482728,46413
0.748602590114165,46763
0.7482346760510101,47113
0.748078451648419,47463
0.7475113895803015,47813
0.7471289781779061,48163
0.7463996893493756,48513
0.745741351091012,48863
0.7453198587133394,49213
0.744847591742662,49563
0.7441716168371727,49913
0.7436946760887225,50263
0.7439088256841117,50613
0.7436790003000081,50963
0.7438474537957231,51313
0.7435596824774334,51663
0.7434606004672597,52013
0.743656628434689,52363
0.7434414715177358,52713
0.7429627284616357,53063
0.7420142450524642,53413
0.7410782538379419,53763
0.7417169509207597,54113
0.7412987231687179,54463
0.7400414488222211,54813
0.7394484946624327,55163
0.7387745806678291,55513
0.738633170150283,55863
0.7371684143595818,56213
0.7365286184478114,56563
0.7364362076985853,56913
0.7361658018770474,57263
0.7357480695139047,57613
0.7350278812643852,57963
0.7344934263304013,58313
0.7341082747213017,58663
0.7343460097018788,59013
0.7340739443288018,59363
0.7338802625075039,59713
0.7336113082613849,60063
0.7329041788008656,60413
0.7327138879783153,60763
0.7322895283827251,61113
0.732113012723612,61463
0.732409050651179,61813
0.732433502170212,62163
0.7317102386742329,62513
0.7311825194710512,62863
0.7317107728619756,63213
0.7320479567864033,63563
0.731676007310354,63913
0.730831567042825,64263
0.7300240195184556,64613
0.7292683949221398,64963
0.7289256249441339,65313
0.7286150917219718,65663
0.727909663059245,66013
0.7285400316298348,66363
0.7269840715002442,66713
0.72647741789173,67063
0.726489861746248,67413
0.726282539501289,67763
0.7253007599032771,68113
0.7254171272906074,68463
0.7250165881841887,68813
0.7244335615751444,69163
0.724653852898955,69513
0.7245348605757408,69863
0.7249476544055589,70213
0.7245521457830213,70563
0.724353732853476,70913
0.7238556293317537,71263
0.7238768644734768,71613
0.7238486698585154,71963
0.7227202380015739,72313
0.7218055687832898,72663
0.7215101372481265,73013
0.721459013990293,73363
0.7215828349666282,73713
0.7227218439910184,74063
0.7220478047042401,74413
0.722397015704576,74763
0.7224512585256399,75113
0.7213012512331518,75463
0.7208447201472935,75813
0.7208751182320919,76163
0.7211450870580616,76513
0.7212236454536759,76863
0.7210546416862248,77213
0.7204193027414398,77563
0.7189712215182946,77913
0.7184458090705753,78263
0.7184937431330388,78613
0.7184549348755664,78963
0.7180217386537454,79313
0.7188867097674718,79663
0.7189801839102234,80013
0.7185003478660468,80363
0.717968156599347,80713
0.7184569651316245,81063
0.7180244053220486,81413
0.718161167798917,81763
0.7175462766075604,82113
0.718237391318825,82463
0.716401540265499,82813
0.7156171687980213,83163
0.7157054160654638,83513
0.7159981666504308,83863
0.7165292077494914,84213
0.7164322669542186,84563
0.7165869467784641,84913
0.7162530277752377,85263
0.7159041102085792,85613
0.7152014922570737,85963
0.7145553846960344,86313
0.7138450249573318,86663
0.7144761013947616,87013
0.7147626324244578,87363
0.7158139873476906,87713
0.7153277331687264,88063
0.715092282969964,88413
0.7155331705955017,88763
0.7152353510541346,89113
0.7144637631197647,89463
0.7127265491905186,89813
0.711473372789365,90163
