Entropy KNNBaseline neigh=10,x
0.7358077830693894,20163
0.7342646656273756,20513
0.7326756488208652,20863
0.732281789223849,21213
0.7321135981186027,21563
0.7306980595095026,21913
0.7298569281303682,22263
0.7287082891359513,22613
0.7280369642063516,22963
0.7274254446658199,23313
0.7269043676770585,23663
0.7260015725282504,24013
0.7246448505026145,24363
0.7245585509273453,24713
0.7235178158032776,25063
0.7225088481846692,25413
0.7218929866769952,25763
0.7215596268405543,26113
0.7211196370247009,26463
0.7207275712712583,26813
0.7199243039000227,27163
0.7190698831770349,27513
0.7178128315069195,27863
0.7173017918493397,28213
0.7166656658329591,28563
0.7154975107478256,28913
0.7149899611909748,29263
0.7146159548514474,29613
0.7144448690555343,29963
0.713545428050431,30313
0.7133987126032925,30663
0.7121675542194369,31013
0.7109204423498116,31363
0.7105645460545962,31713
0.710005775085716,32063
0.7095796973765544,32413
0.7091742027316862,32763
0.7090394155558177,33113
0.708827689885257,33463
0.7078928695790816,33813
0.7072939207806811,34163
0.7064840199708197,34513
0.705569082229694,34863
0.7052707886340874,35213
0.7043751386923988,35563
0.7035912859430241,35913
0.7033763672483824,36263
0.7030974198174917,36613
0.7029573758424225,36963
0.7027414216977512,37313
0.702360889239213,37663
0.7018296280445929,38013
0.701472037243369,38363
0.7015186419689938,38713
0.7014865033253456,39063
0.7012006940794678,39413
0.7007674644795777,39763
0.7006722945326352,40113
0.7003234850550182,40463
0.6998446372729442,40813
0.6992106134730175,41163
0.6986841761460609,41513
0.6979290181429916,41863
0.6970956376218073,42213
0.6967770606764606,42563
0.696241932812035,42913
0.6955681288337995,43263
0.6950610942801905,43613
0.6954060837091268,43963
0.6951165830502493,44313
0.6941546874044846,44663
0.6938996557657671,45013
0.6935823585120291,45363
0.6937342560037792,45713
0.6931611580354015,46063
0.6932691544119456,46413
0.6933930639351288,46763
0.6932879417144988,47113
0.6932359152522722,47463
0.6929518519307107,47813
0.6928667242066097,48163
0.6924315616185385,48513
0.6918925297501276,48863
0.6913237027179163,49213
0.6912875380602117,49563
0.6910416092664042,49913
0.6905932333090586,50263
0.6903786045388847,50613
0.6900159596618719,50963
0.6904792671550921,51313
0.6896942790097921,51663
0.6890552879830283,52013
0.688611372310549,52363
0.6878145894858967,52713
0.6879158980060978,53063
0.6871811419090549,53413
0.6867462415386265,53763
0.6860134159384854,54113
0.6860506110560106,54463
0.6858208688050019,54813
0.6855787806326555,55163
0.6846887074758794,55513
0.6844808052949584,55863
0.6838378867285362,56213
0.6839636203362296,56563
0.6837162933754083,56913
0.6838207783758568,57263
0.683197093972402,57613
0.6825060319606425,57963
0.6825079961504396,58313
0.6824856001205928,58663
0.6820159726158964,59013
0.6813373596258294,59363
0.6809540945809726,59713
0.6803324714485192,60063
0.6803460344144611,60413
0.6799886451548482,60763
0.6797192084194889,61113
0.6794215086151659,61463
0.6785210899626635,61813
0.677487239336026,62163
0.6771297144483144,62513
0.676575920994476,62863
0.676039623683789,63213
0.6748173311492073,63563
0.6742141758748622,63913
0.6744011601100922,64263
0.6734276382056748,64613
0.673381684789242,64963
0.6737155672968886,65313
0.6736765466097387,65663
0.6738359050999996,66013
0.6735185696733068,66363
0.67296845145231,66713
0.672420923278416,67063
0.6719601699847454,67413
0.6718177164116788,67763
0.671456798934602,68113
0.6711460675460726,68463
0.6702191455496206,68813
0.6699491392371716,69163
0.6699168732095655,69513
0.6691127263810084,69863
0.6689413326425836,70213
0.6680427006833216,70563
0.6680238956395549,70913
0.6666315528075096,71263
0.6657070368635741,71613
0.665491092764686,71963
0.6655861524458918,72313
0.665080050497014,72663
0.6645825395009284,73013
0.6658542056386169,73363
0.6647448541726169,73713
0.6644634674030832,74063
0.6645416507166355,74413
0.6646249524575827,74763
0.6649914714384729,75113
0.6653320141157167,75463
0.6649427279468259,75813
0.6653803729413891,76163
0.665857385563968,76513
0.6656625539082828,76863
0.6650862274191299,77213
0.6642427739231458,77563
0.6641165795848779,77913
0.6641561238833081,78263
0.6642081576563921,78613
0.6638884166747019,78963
0.6631174833974247,79313
0.6628660862574607,79663
0.661786788150146,80013
0.6613901641694009,80363
0.6603138069537661,80713
0.6599021894312158,81063
0.6594160203204905,81413
0.6603126734549102,81763
0.6592828213257568,82113
0.6580428702476917,82463
0.6584829286882198,82813
0.6579061023744265,83163
0.6581284733980041,83513
0.6567957708714162,83863
0.6554952765204062,84213
0.6549500865343397,84563
0.6541744457489921,84913
0.6518535143835857,85263
0.6523612308858536,85613
0.6510418718505738,85963
0.6493745590054997,86313
0.6495695478828171,86663
0.6487631885527624,87013
0.6479383336091825,87363
0.647819876027941,87713
0.648995247979237,88063
0.6477638059083953,88413
0.6460173142095493,88763
0.6446252436791229,89113
0.6441316226934002,89463
0.6457779901343766,89813
0.64526608720826,90163
