QBC consensus KNNBasic neigh=10,x
0.802181963646838,20160
0.8011056526228527,20510
0.7996750405341084,20860
0.7989265522440729,21210
0.797739643240026,21560
0.7968218620677137,21910
0.7956584918892219,22260
0.7949753453650765,22610
0.7941127640962955,22960
0.7930459508831458,23310
0.7923411548526674,23660
0.7914461567971873,24010
0.7904683719192679,24360
0.7897353168965222,24710
0.7887894199120911,25060
0.7881902204311242,25410
0.7870648501700126,25760
0.7855015129588213,26110
0.7843782829144845,26460
0.7835991712418662,26810
0.7833336862877223,27160
0.7823680647422845,27510
0.7818610959742893,27860
0.7808066301664264,28210
0.7794981443462906,28560
0.7786686844037337,28910
0.7780501970743575,29260
0.7775087595210641,29610
0.7769953016611654,29960
0.7760336777344153,30310
0.775425297588457,30660
0.7743123173529614,31010
0.773326832744468,31360
0.7719448155379469,31710
0.7710689136284751,32060
0.7700850153085507,32410
0.7694042819041019,32760
0.7691355782148009,33110
0.7684320659051276,33460
0.7678227763975541,33810
0.7667831139111775,34160
0.7658547802297979,34510
0.7649902450047232,34860
0.764719597445237,35210
0.763697740534895,35560
0.7633205600668928,35910
0.7621199729016397,36260
0.7618307395156791,36610
0.7607292143525121,36960
0.759609583045229,37310
0.7593247432962533,37660
0.7586198702640743,38010
0.7579739450085273,38360
0.7569904538986149,38710
0.7563752470816827,39060
0.7559334634311415,39410
0.7552581619342105,39760
0.7542556933782044,40110
0.7541591563507509,40460
0.7540391372413043,40810
0.7538220385648808,41160
0.7528735588616235,41510
0.7524617767360274,41860
0.7514723560515164,42210
0.7510212386545339,42560
0.7508657018926042,42910
0.7501271184789647,43260
0.7494672013357263,43610
0.748891676270111,43960
0.7489426604666471,44310
0.7491393882619767,44660
0.7485004421810908,45010
0.7476176376300271,45360
0.747489312194352,45710
0.7468573303452125,46060
0.7464072388637629,46410
0.7459048026294163,46760
0.7444920971989033,47110
0.7438964367919236,47460
0.7433034694219854,47810
0.7424509576759433,48160
0.7421659640250996,48510
0.7415393745668981,48860
0.7412330800938174,49210
0.7413081128592822,49560
0.7410801329701912,49910
0.7400222207561955,50260
0.7396422136908685,50610
0.7397448115193898,50960
0.7396508019494153,51310
0.7389173265265756,51660
0.7379322628073915,52010
0.7377866227351576,52360
0.7374092433709799,52710
0.7366714710384505,53060
0.7366784277494794,53410
0.7367599533539261,53760
0.7363634316323115,54110
0.7352864066450879,54460
0.7354329506907707,54810
0.735439764917796,55160
0.735086257551296,55510
0.7342466412639672,55860
0.7332523334944052,56210
0.7333281141916071,56560
0.7326123648937426,56910
0.731989605369204,57260
0.7320194975353503,57610
0.7310919347787601,57960
0.7309796949652622,58310
0.730458321249157,58660
0.7301943379142819,59010
0.7298924893990464,59360
0.729218490651276,59710
0.728967348153371,60060
0.7279408253897448,60410
0.7277008592603442,60760
0.7281251153209114,61110
0.7276932236781268,61460
0.7272594947498352,61810
0.7260862195000461,62160
0.7254973358085325,62510
0.7240813916115162,62860
0.7235655993014488,63210
0.7220711799170123,63560
0.721843672260237,63910
0.7201471637545546,64260
0.7200118770609141,64610
0.7195630850542781,64960
0.7197461389237236,65310
0.7193996603347157,65660
0.718033264351562,66010
0.717186954024756,66360
0.7178071044928063,66710
0.7176947249582308,67060
0.7171039135928944,67410
0.7160989955535425,67760
0.7156159285533517,68110
0.7148885956481354,68460
0.7142623782321532,68810
0.7144124944327475,69160
0.7134435649378641,69510
0.7135006876451846,69860
0.7122493860198073,70210
0.7117265672652501,70560
0.7106634547770403,70910
0.7102147030262698,71260
0.710035434790488,71610
0.7102948597962532,71960
0.7103033428451277,72310
0.7101987689623103,72660
0.7097157794142966,73010
0.7092490687931188,73360
0.7098507670402242,73710
0.7100209378208765,74060
0.7097262282856137,74410
0.7094124403855987,74760
0.7085239952716706,75110
0.7082287255713768,75460
0.7091735591500163,75810
0.7088566420044453,76160
0.7081630647062825,76510
0.7085628146308124,76860
0.7082942771834068,77210
0.706840506742933,77560
0.7052806850123887,77910
0.7039616372662801,78260
0.7032919661355681,78610
0.7028021663542499,78960
0.7027721120116254,79310
0.7014617221484628,79660
0.7016327000436733,80010
0.7003704518273518,80360
0.7007926432147495,80710
0.7003023456394628,81060
0.6994096811035595,81410
0.6988208273682539,81760
0.697047063675919,82110
0.6971311250662817,82460
0.6952253767702744,82810
0.6946285459454697,83160
0.6954100349714878,83510
0.6952446205226641,83860
0.6958936905744644,84210
0.6961193991889768,84560
0.6957110481325478,84910
0.6954698244406798,85260
0.6968375082988763,85610
0.6970777541745345,85960
0.6967734173559752,86310
0.6963180547825832,86660
0.6961371503636549,87010
0.6968971488392004,87360
0.6966425524027552,87710
0.6962915545860133,88060
0.6963556298826986,88410
0.6972329008615635,88760
0.6963488601152631,89110
0.6942531168668298,89460
0.6922508781299184,89810
0.6909739623528972,90160
